id,hashtag,postCount,recentPostCount1h,recentPostCount6h,recentPostCount24h,trendScore,createdAt,updatedAt
e4212324-4764-4a30-a04f-9bb818600aaa,nanshakcyt,1,0,0,0,0,2026-04-18 16:00:00.096055,2026-04-25 15:30:00.368
2c959d15-b92b-490d-97a2-07b2aa5dbceb,tagmisocial,56,0,0,0,0,2026-04-15 15:00:00.244349,2026-05-12 21:30:00.339
d7f8e934-f870-4bb4-ba54-0accbf52a1c8,stepbystepguide,1,0,0,0,0,2026-04-15 15:00:00.301223,2026-04-23 05:30:00.21
ebf8cf74-e45e-4757-9cf6-8a051907946d,tagmiapp,32,0,0,0,0,2026-04-15 15:00:00.260639,2026-05-12 21:30:00.353
53ad5453-336a-434b-8e3a-798a6a5c8397,fypp,42,0,0,0,0,2026-04-10 00:30:00.275751,2026-05-12 21:30:00.368
c12c27d2-7c23-4978-a71a-9321a8fc5e8b,wondersofcreati,42,0,0,0,0,2026-04-09 07:00:00.326614,2026-05-12 21:30:00.388
ced8afd8-13b8-4c42-aa7a-80759c3450b5,riskmanagement,1,0,0,0,0,2026-04-12 18:30:00.096658,2026-04-30 14:30:00.605
06422ee1-647e-46a7-b60a-d9fa1e83adbb,howtoregister,2,0,0,0,0,2026-04-15 15:00:00.272629,2026-04-22 14:30:00.341
70fb88fb-3a63-420d-9b06-69ce306ea79c,apptutorial,2,0,0,0,0,2026-04-15 15:00:00.288716,2026-04-22 14:30:00.344
782c11e9-12be-4076-85e6-09b65909b198,newappalert,2,0,0,0,0,2026-04-15 15:00:00.311636,2026-04-22 14:30:00.347
ef7c7ded-4877-4430-a7e9-3ee143d6869d,techtutorial,2,0,0,0,0,2026-04-15 15:00:00.332644,2026-04-22 14:30:00.35
9320822c-4418-432b-a6c9-bc2f16eb76ab,decisionmaking,1,0,0,0,0,2026-04-13 07:30:00.0592,2026-04-20 07:00:00.22
3517c868-76bf-4b38-8945-01b61bacc562,hustlesmart,1,0,0,0,0,2026-04-13 07:30:00.083651,2026-04-20 07:00:00.24
2fc6782c-b60f-460e-942b-6397666581d5,glk,1,0,0,0,0,2026-04-13 09:00:00.050678,2026-04-29 16:00:00.467
e2f98695-def1-4af7-84bd-116ca9f6a653,jesus,11,0,0,0,0,2026-04-15 05:30:00.31963,2026-05-12 21:30:00.399
81987476-460d-4c08-894e-4dcae5ad3d86,nigeriafirst,1,0,0,0,0,2026-04-28 02:30:00.224656,2026-05-05 02:00:00.601
02316178-30cf-4808-b36c-0fc0560263ac,biblestories,3,0,0,0,0,2026-04-15 05:30:00.309639,2026-05-12 21:30:00.439
8ddd57b3-e1f1-4dae-a007-7752020dec66,proudlyjw,1,0,0,0,0,2026-04-11 16:00:00.204035,2026-05-02 16:30:00.634
636a3ab1-5d59-409b-92bf-d404d7a74693,entrepreneurlife,2,0,0,0,0,2026-04-13 07:30:00.050715,2026-05-02 16:00:00.58
405a22b4-cc0f-40b6-a203-541a3d8c43d2,buildwealth,1,0,0,0,0,2026-04-12 18:30:00.12668,2026-04-19 18:00:00.58
1845311d-394f-431c-ad7e-e10a4f46faea,moneymindset,1,0,0,0,0,2026-04-12 18:30:00.13306,2026-04-19 18:00:00.617
010fc443-be11-4cd6-b1f7-fcf2f3f163a4,driveyourfuture,1,0,0,0,0,2026-04-15 10:00:00.247642,2026-05-12 21:30:00.582
1932462d-a12d-495d-877a-a2fe6eb0e126,successmindset,1,0,0,0,0,2026-04-13 07:30:00.044694,2026-05-05 11:00:00.273
ee38409f-5851-4d50-a00b-7b7db4878676,selfdevelopment,1,0,0,0,0,2026-04-13 07:30:00.06584,2026-04-20 07:00:00.223
23fbed02-6212-41da-98f7-5c3b6d72a55b,financialfreedom,1,0,0,0,0,2026-04-13 07:30:00.073695,2026-04-20 07:00:00.227
63525d4a-7af5-4455-b293-26c0f3014a89,workethic,1,0,0,0,0,2026-04-13 07:30:00.077644,2026-04-20 07:00:00.233
